Run LT LTu T_start T_end dT Date_start Date_end dDate Comment
3905 670.226991447 10.9875209551 1494230862.81 1494234610.7 3747.8900001 2017-05-08-10:07:42 2017-05-08-11:10:10 0-days-01:02:27.890000 None
3988 323.922277593 11.0973670036 1494938995.64 1494946996.04 8000.39400005 2017-05-16-14:49:55 2017-05-16-17:03:16 0-days-02:13:20.394000 None
3998 408.983866303 4.94279066596 1495090771.01 1495092733.9 1962.89199996 2017-05-18-08:59:31 2017-05-18-09:32:13 0-days-00:32:42.892000 None
4002 531.264148622 4.08290510195 1495100812.95 1495101457.05 644.094000101 2017-05-18-11:46:52 2017-05-18-11:57:37 0-days-00:10:44.094000 None
4021 449.539072649 7.42967165419 1495130594.48 1495134249.49 3655.01699996 2017-05-18-20:03:14 2017-05-18-21:04:09 0-days-01:00:55.017000 None
4029 565.927322465 4.38174021712 1495221271.55 1495224466.02 3194.47799993 2017-05-19-21:14:31 2017-05-19-22:07:46 0-days-00:53:14.478000 None
4035 532.148401173 5.88603815833 1495275426.86 1495278734.34 3307.47600007 2017-05-20-12:17:06 2017-05-20-13:12:14 0-days-00:55:07.476000 None
4050 563.68977499 14.5272007121 1495317309.81 1495320181.94 2872.13000011 2017-05-20-23:55:09 2017-05-21-00:43:01 0-days-00:47:52.130000 None
4051 599.607250681 7.12755885326 1495362000.42 1495365340.42 3340.0059998 2017-05-21-12:20:00 2017-05-21-13:15:40 0-days-00:55:40.006000 None
4052 552.352719954 11.8924630587 1495392813.33 1495396067.83 3254.50099993 2017-05-21-20:53:33 2017-05-21-21:47:47 0-days-00:54:14.501000 None
4054 622.132585657 16.3992496439 1495443303.83 1495444615.75 1311.92799997 2017-05-22-10:55:03 2017-05-22-11:16:55 0-days-00:21:51.928000 None
4055 684.054676587 9.40204316162 1495476276.43 1495484247.36 7970.93000007 2017-05-22-20:04:36 2017-05-22-22:17:27 0-days-02:12:50.930000 None
4059 691.997972006 16.60795261 1495529671.01 1495530315.98 644.967000008 2017-05-23-10:54:31 2017-05-23-11:05:15 0-days-00:10:44.967000 None
4062 693.640504506 7.48276342051 1495549466.68 1495553980.71 4514.0389998 2017-05-23-16:24:26 2017-05-23-17:39:40 0-days-01:15:14.039000 None
4074 643.909484666 6.72705181213 1495607923.82 1495611813.26 3889.44000006 2017-05-24-08:38:43 2017-05-24-09:43:33 0-days-01:04:49.440000 None
4096 689.473110554 2.10331343486 1495652171.17 1495663960.01 11788.839 2017-05-24-20:56:11 2017-05-25-00:12:40 0-days-03:16:28.839000 None
4098 703.656660429 8.07950933154 1495694816.07 1495698447.13 3631.06200004 2017-05-25-08:46:56 2017-05-25-09:47:27 0-days-01:00:31.062000 None
4104 727.178337627 8.98987248931 1495742337.39 1495746784.8 4447.40100002 2017-05-25-21:58:57 2017-05-25-23:13:04 0-days-01:14:07.401000 None
4106 669.073912116 3.6291533301 1495782034.32 1495787169.67 5135.3440001 2017-05-26-09:00:34 2017-05-26-10:26:09 0-days-01:25:35.344000 
4109 701.280000385 5.37217903137 1495795299.1 1495803230.55 7931.44300008 2017-05-26-12:41:39 2017-05-26-14:53:50 0-days-02:12:11.443000 

